Code,Sex,BirthDay,BirthMonth,BirthYear,MumCode,BirthWt,DaysFrom1May
YUM19,1,24,5,2019,NAV15,6.180000095,23
YUM20,1,20,5,2020,NAV15,,19
YUM21,2,5,6,2021,NAV15,7.019999809,35
YUM22,2,31,5,2022,NAV15,8.4,30
ZAN95,2,27,6,1995,ALD91,6.98,57
ZAN98,1,6,6,1998,ALD91,7.080000381,36
ZAN99,2,19,6,1999,ALD91,4.710000191,49
ZAP13,1,30,5,2013,NAV08,4.479999809,29
ZEP12,1,7,6,2012,WHF07,7.220000191,37
ZEP13,2,19,5,2013,WHF07,6.91,18
ZEP14,1,22,5,2014,WHF07,7.23,21
ZEP16,2,26,5,2016,WHF07,8.32,25
ZEP18,2,28,5,2018,WHF07,9.2,27
ZIT21,1,6,6,2021,BAL17,6.379999905,36
ZUC00,1,23,5,2000,CUC91,4.979999809,22
ZUC01,1,28,5,2001,CUC91,5.680000095,27
ZUC03,1,28,5,2003,CUC91,6.440000191,27
ZUC05,1,3,6,2005,CUC91,5.839999809,33
ZUC06,2,27,5,2006,CUC91,5.620000191,26
ZUC95,2,11,6,1995,CUC91,5.119999809,41
ZUC96,2,4,6,1996,CUC91,5.62,34
ZUC98,2,30,5,1998,CUC91,7.680000191,29
ZUN17,1,2,6,2017,NAV14,5.64,32
ZUN18,1,8,6,2018,NAV14,5.979999809,38
ZUN19,2,31,5,2019,NAV14,6.599999619,30
ZUN22,1,24,5,2022,NAV14,6.340000095,23
ZUN23,2,21,5,2023,NAV14,8.380000381,20
