code,AvgSpike,ObsYear,DeerYear,MumCode,ReprodStatus
JMC20,2,2021,2020,RAS13,Milk
MNU20,8,2021,2020,LYR17,Milk
MAJ20,10,2021,2020,PRC06,Milk
ELK20,0.25,2021,2020,LEI13,Milk
MAA20,0.5,2021,2020,BED15,Milk
BGE20,2,2021,2020,SHO16,Milk
SPU20,11,2021,2020,SPY12,Milk
BRZ20,1,2021,2020,ZEP14,Milk
NIA20,0.5,2021,2020,ARE14,Milk
LIA20,3,2021,2020,ARA09,Milk
EKA20,2,2021,2020,MEE11,Milk
KOH20,1,2021,2020,AYE10,Milk
IRI20,0.5,2021,2020,AYE09,Milk
CES20,4,2021,2020,DAK12,Milk
GTO20,4.5,2021,2020,BOO15,Milk
HAN20,2,2021,2020,JAE08,Milk
SAE21,4,2022,2021,RUB12,Milk
JMC21,2,2022,2021,RAS13,Milk
RHA21,2.5,2022,2021,EMU18,Milk
MCU21,2,2022,2021,MNG09,Milk
QIN21,3,2022,2021,MCU17,Milk
KAL21,5,2022,2021,PLS18,Milk
MAA21,6,2022,2021,BED15,Milk
BCA21,2.5,2022,2021,CBS09,Milk
STT21,3,2022,2021,SPU18,Milk
CYP21,2,2022,2021,CPY14,Milk
ZUN21,4,2022,2021,NAV14,Milk
CES21,13,2022,2021,DAK12,Milk
BOE21,2.5,2022,2021,CES17,Milk
